country,year,month,fraud_cases,economy_index_2015,unemployment_rate,inflation_index,total_pop_thousands,conexiones_moviles,numero_transacciones_digitales_millions,monto_transacciones_millions,FRISK,ln_FRISK,std_ln_FRISK
Mexico,2014,12,31.0,93.051125,4.21,86.847,118313.623,44.0,67.523406,14.300129,0.02620154739070073,0.02586416740872683,-0.809937828621465
Mexico,2015,1,30.0,93.235082,4.38,86.6165,118427.175,57.0,64.477187,13.665879,0.025332023667709713,0.0250164856672969,-0.8258999347045177
Mexico,2015,2,54.0,93.444308,4.45,86.6428,118540.973,57.0,64.477187,13.665879,0.0455538693781432,0.044546763550234875,-0.4581388373932992
Mexico,2015,3,27.0,93.628004,4.25,86.9804,118644.399,57.0,64.477187,13.665879,0.022757079329130403,0.022501999660301086,-0.8732484741697114
Mexico,2015,4,81.0,94.523994,4.36,87.1639,118765.524,57.0,64.128532,13.513954,0.06820161042694511,0.06597649653047093,-0.0546104204841351
Mexico,2015,5,22.0,93.832832,4.41,87.3193,118879.803,57.0,64.128532,13.513954,0.018506087194643146,0.018336933293906395,-0.9516779459089499
Mexico,2015,6,36.0,94.262595,4.41,87.5907,118994.122,57.0,64.128532,13.513954,0.03025359521540064,0.029804980884086545,-0.735731107309873
Mexico,2015,7,30.0,95.038345,4.5,87.7747,119104.594,57.0,64.218013,13.875971,0.02518794531132863,0.02487595706109178,-0.8285461312784417
Mexico,2015,8,41.0,94.975685,4.38,87.9509,119219.437,57.0,64.218013,13.875971,0.03439036538983153,0.0338122342305008,-0.6602733029348098
Mexico,2015,9,26.0,96.443333,4.19,88.1824,119334.374,57.0,64.218013,13.875971,0.021787519495430546,0.021553563605703555,-0.8911078147412568
Mexico,2015,10,23.0,95.223198,4.44,88.4342,119445.708,57.0,69.110279,14.105078,0.019255610256000158,0.01907256700033586,-0.9378257385457377
Mexico,2015,11,80.0,94.60817,4.07,88.5021,119560.674,57.0,69.110279,14.105078,0.066911633502501,0.06476815117916974,-0.07736393249195214
Mexico,2015,12,39.0,94.887044,4.33,88.7011,119672.114,57.0,69.110279,14.105078,0.032589045765498884,0.032069285006501996,-0.6930935691398041
Mexico,2016,1,36.0,95.130919,4.18,88.8735,119787.389,60.0,63.752952,15.11725,0.030053247090977165,0.02961049711017381,-0.7393932961702712
Mexico,2016,2,26.0,95.57356,4.27,89.1375,119902.984,60.0,63.752952,15.11725,0.021684197617633936,0.02145243974182095,-0.8930120079825781
Mexico,2016,3,56.0,95.087681,4.13,89.2159,120013.484,60.0,63.752952,15.11725,0.04666142347804852,0.04560550182362788,-0.4382024723542461
Mexico,2016,4,80.0,95.167303,3.84,89.4574,120131.7,60.0,66.714116,16.64328,0.06659358021238358,0.06447000023917765,-0.08297820575079067
Mexico,2016,5,26.0,95.491128,3.96,89.587,120246.613,60.0,66.714116,16.64328,0.021622230640292547,0.021391786110526664,-0.8941541343841785
Mexico,2016,6,19.0,95.945521,3.91,89.8108,120362.253,60.0,66.714116,16.64328,0.01578567991744056,0.01566238194112295,-1.0020405647211552
Mexico,2016,7,67.0,95.806889,3.78,90.076,120474.9,60.0,74.023067,19.287735,0.055613243920517884,0.054121871912129735,-0.2778366225886343
Mexico,2016,8,69.0,96.138989,3.73,90.3187,120595.634,60.0,74.023067,19.287735,0.057216001700360064,0.05563903955887578,-0.24926789243964623
Mexico,2016,9,57.0,96.763212,3.83,90.7949,120707.702,60.0,74.023067,19.287735,0.04722151035565237,0.046140476231138226,-0.42812874087337954
Mexico,2016,10,99.0,97.00579,3.58,91.1442,120820.588,60.0,77.109506,18.560155,0.08193967736690703,0.07875542782292148,0.1860207585879221
Mexico,2016,11,36.0,97.233877,3.61,91.4307,120937.495,60.0,77.109506,18.560155,0.029767443091160438,0.02933299334199346,-0.7446187768780065
Mexico,2016,12,94.0,97.717568,3.68,91.6781,121050.475,60.0,77.109506,18.560155,0.07765355732804849,0.0747860454432469,0.11127607608280352
Mexico,2017,1,34.0,98.019681,3.55,93.0608,121167.347,53.0,71.852979,18.780139,0.028060365141113472,0.027673886263356217,-0.77586026987947
